,Median Label 0,Median Label 1,P-value
R,1.0,1.0,0.004269939298441515
normR,0.0416666666666666,0.0344827586206896,3.1024665730416106e-05
A,2.0,1.0,4.510356372003364e-25
normA,0.0666666666666666,0.0465116279069767,4.532640775721961e-29
L,2.0,1.0,6.335406055642796e-46
normL,0.0869565217391304,0.0555555555555555,7.933931902622763e-55
G,2.0,2.0,1.2675027385106858e-06
normG,0.0714285714285714,0.08,1.9890742690528036e-05
C,0.0,4.0,1.318088827040322e-287
normC,0.0,0.1481481481481481,5.81645240198748e-303
W,0.0,0.0,1.8181455130122255e-22
normW,0.0,0.0,1.0954092552710998e-22
P,1.0,1.0,1.2537775856725097e-07
normP,0.0434782608695652,0.0512820512820512,2.9657339431200213e-05
net_charge,0.46424888186551616,0.7204876538932621,0.01722566675354281
hidro/total,0.6078042328042328,0.5957446808510638,8.442299718194043e-06
AA,0.0,0.0,5.010462657642948e-07
normAA,0.0,0.0,2.8162533476216965e-07
AC,0.0,0.0,6.214627325022513e-08
normAC,0.0,0.0,8.084506167339945e-08
AF,0.0,0.0,3.4169462583590653e-09
normAF,0.0,0.0,8.324454555141979e-09
AH,0.0,0.0,1.6770139556126204e-09
normAH,0.0,0.0,7.342859684189801e-09
AI,0.0,0.0,0.003383607535715234
normAI,0.0,0.0,0.0031976483840286713
AL,0.0,0.0,0.015424960143455927
normAL,0.0,0.0,0.012109134953148493
AM,0.0,0.0,2.4458086810533643e-06
normAM,0.0,0.0,2.305492689639856e-06
AN,0.0,0.0,0.03411404090765067
normAN,0.0,0.0,0.03138344483243886
AP,0.0,0.0,0.0011455555813893654
normAP,0.0,0.0,0.0008841768229265017
AQ,0.0,0.0,6.157339131217846e-06
normAQ,0.0,0.0,3.837707285229336e-06
AR,0.0,0.0,1.4923474252456595e-13
normAR,0.0,0.0,2.0082075633663316e-13
AS,0.0,0.0,0.031041622433860994
normAS,0.0,0.0,0.03160200419568213
AT,0.0,0.0,1.1373969977836682e-07
normAT,0.0,0.0,1.1067010197901686e-07
AV,0.0,0.0,7.397280021419981e-31
normAV,0.0,0.0,8.821922605864614e-31
AW,0.0,0.0,0.0
normAW,0.0,0.0,0.0
AY,0.0,0.0,8.862657121296812e-43
normAY,0.0,0.0,9.26215751053967e-43
CA,0.0,0.0,6.498421038073316e-31
normCA,0.0,0.0,7.760424553103064e-31
CC,0.0,0.0,9.602958677403377e-18
normCC,0.0,0.0,1.155406944643722e-17
CD,0.0,0.0,2.0811854276377992e-54
normCD,0.0,0.0,1.735023341589942e-54
CE,0.0,0.0,1.3675341016198764e-22
normCE,0.0,0.0,1.1536076174973742e-22
CF,0.0,0.0,2.0115575749038566e-35
normCF,0.0,0.0,1.5448641365493924e-35
CG,0.0,0.0,4.5268282360160414e-39
normCG,0.0,0.0,9.574651894774027e-40
CH,0.0,0.0,2.7753526859893392e-27
normCH,0.0,0.0,2.947601433805556e-27
CI,0.0,0.0,3.7783459838241985e-20
normCI,0.0,0.0,3.7396209184292344e-20
CK,0.0,0.0,3.486643982003865e-36
normCK,0.0,0.0,1.3151209518415072e-36
CL,0.0,0.0,2.554818461069398e-51
normCL,0.0,0.0,9.347395763477858e-52
CM,0.0,0.0,4.5687870483137865e-20
normCM,0.0,0.0,3.6153025292715816e-20
CN,0.0,0.0,1.7946126486650753e-45
normCN,0.0,0.0,2.9949602735656326e-46
CP,0.0,0.0,4.48731077612372e-86
normCP,0.0,0.0,2.381734116459574e-86
CQ,0.0,0.0,1.5893659241559203e-47
normCQ,0.0,0.0,1.4080511923345091e-47
CR,0.0,0.0,2.9922357950869367e-31
normCR,0.0,0.0,6.5035525879683646e-31
CS,0.0,0.0,1.2539158722223526e-16
normCS,0.0,0.0,1.16228652355245e-16
CT,0.0,0.0,1.0279961986782024e-28
normCT,0.0,0.0,1.0712166047528177e-28
CV,0.0,0.0,0.03904660608108135
normCV,0.0,0.0,0.028378946077786817
CW,0.0,0.0,1.0205894029994196e-53
normCW,0.0,0.0,1.7005832297825586e-53
CY,0.0,0.0,0.0013867316942985603
normCY,0.0,0.0,0.0017068672418628055
DC,0.0,0.0,1.559857687875658e-05
normDC,0.0,0.0,1.1708286017791198e-05
DD,0.0,0.0,0.000113404154841146
normDD,0.0,0.0,0.0004019045217584043
DF,0.0,0.0,0.00086371522563601
normDF,0.0,0.0,0.00085284956094785
DH,0.0,0.0,0.0003846158010515505
normDH,0.0,0.0,0.0002331973070802655
DR,0.0,0.0,0.007096857067861908
normDR,0.0,0.0,0.005953553691108118
DS,0.0,0.0,0.00858531148686961
normDS,0.0,0.0,0.008599455099617506
DV,0.0,0.0,7.889172497583297e-08
normDV,0.0,0.0,4.768913654582456e-08
DW,0.0,0.0,6.988144424218179e-61
normDW,0.0,0.0,9.443524566532831e-61
EC,0.0,0.0,0.02291226769260796
normEC,0.0,0.0,0.02200159457841685
EF,0.0,0.0,1.32318413940171e-05
normEF,0.0,0.0,1.7479519573023267e-05
EG,0.0,0.0,0.00039285320079675984
normEG,0.0,0.0,0.00027184381660761906
EH,0.0,0.0,8.890980108634304e-13
normEH,0.0,0.0,7.139212347512739e-13
EM,0.0,0.0,7.559801479231664e-05
normEM,0.0,0.0,6.711686554269821e-05
EN,0.0,0.0,3.4837950189378e-05
normEN,0.0,0.0,2.757547120711117e-05
EP,0.0,0.0,0.017083228472794632
normEP,0.0,0.0,0.012771645492288078
EQ,0.0,0.0,0.00022636396645065585
normEQ,0.0,0.0,0.00021798056711709563
ER,0.0,0.0,7.888973960788378e-17
normER,0.0,0.0,5.42394189690872e-17
ES,0.0,0.0,0.00012497154409816253
normES,0.0,0.0,0.0001246908047610648
EV,0.0,0.0,1.365134232414206e-05
normEV,0.0,0.0,1.2681125606530681e-05
EW,0.0,0.0,3.834487719534194e-25
normEW,0.0,0.0,4.683145373356474e-25
EY,0.0,0.0,0.00011383787858493346
normEY,0.0,0.0,0.00010884855560950361
FA,0.0,0.0,7.183102994862379e-08
normFA,0.0,0.0,7.412728090812036e-08
FH,0.0,0.0,0.0007332987093982482
normFH,0.0,0.0,0.002232421378485741
FK,0.0,0.0,0.0004954559171059869
normFK,0.0,0.0,0.0005222008664411961
FM,0.0,0.0,0.0008759873674080743
normFM,0.0,0.0,0.0008848311822352672
FN,0.0,0.0,0.0013446306299063182
normFN,0.0,0.0,0.0015628421635135374
FP,0.0,0.0,1.6543906055272208e-10
normFP,0.0,0.0,2.534140890894023e-10
FQ,0.0,0.0,0.00019198454719242649
normFQ,0.0,0.0,0.00020168620306416958
FR,0.0,0.0,3.0677681913894747e-13
normFR,0.0,0.0,4.388520112500733e-13
FT,0.0,0.0,0.00041117659445664187
normFT,0.0,0.0,0.0004081174722316277
FW,0.0,0.0,4.06670823074887e-69
normFW,0.0,0.0,1.0057603667534517e-69
GA,0.0,0.0,0.031049464569456477
normGA,0.0,0.0,0.04367342621394986
GC,0.0,0.0,0.002289860176450339
normGC,0.0,0.0,0.0023595360903075867
GG,0.0,0.0,0.00019785419949311215
normGG,0.0,0.0,0.00022388771680761574
GH,0.0,0.0,0.0013613032842393553
normGH,0.0,0.0,0.0010137867492846118
GQ,0.0,0.0,0.024764355058611322
GS,0.0,0.0,1.8210728011918878e-06
normGS,0.0,0.0,1.8874378195668668e-06
GW,0.0,0.0,7.768748027461815e-16
normGW,0.0,0.0,6.342634110364728e-16
HC,0.0,0.0,0.03749519092317235
normHC,0.0,0.0,0.03847825287564944
HG,0.0,0.0,3.898689950437166e-05
normHG,0.0,0.0,4.523950006350803e-05
HL,0.0,0.0,5.498712317955238e-07
normHL,0.0,0.0,4.6479567541148677e-07
HV,0.0,0.0,1.3543421748641187e-05
normHV,0.0,0.0,1.622729709870488e-05
HW,0.0,0.0,1.2150262270459088e-14
normHW,0.0,0.0,3.0225887560939906e-15
HY,0.0,0.0,9.593567466612255e-05
normHY,0.0,0.0,8.705332209828279e-05
IA,0.0,0.0,2.7764206437187945e-09
normIA,0.0,0.0,2.227731118490159e-09
IC,0.0,0.0,8.068992658812053e-07
normIC,0.0,0.0,1.6138065472445607e-06
IF,0.0,0.0,6.453430715994954e-08
normIF,0.0,0.0,1.5540803114284035e-07
IG,0.0,0.0,0.027858341605301783
normIG,0.0,0.0,0.04518760562751897
IH,0.0,0.0,1.0478688039283786e-05
normIH,0.0,0.0,3.612886575954781e-05
IM,0.0,0.0,2.867701223840938e-07
normIM,0.0,0.0,3.1439643777334685e-07
IN,0.0,0.0,3.2678017525104544e-05
normIN,0.0,0.0,5.6430980078967e-05
IP,0.0,0.0,1.4633653500690909e-08
normIP,0.0,0.0,1.5853948486715763e-08
IQ,0.0,0.0,2.7017991891501256e-06
normIQ,0.0,0.0,3.6967659223206885e-06
IR,0.0,0.0,7.808304100173862e-06
normIR,0.0,0.0,1.6461583254215745e-05
IT,0.0,0.0,6.252111805015533e-06
normIT,0.0,0.0,5.883592119411896e-06
IW,0.0,0.0,6.150314013794226e-32
normIW,0.0,0.0,6.665156389609735e-32
KA,0.0,0.0,0.0008094207486507621
normKA,0.0,0.0,0.0007042205329679231
KG,0.0,0.0,0.006083870188198881
normKG,0.0,0.0,0.002876836211121977
KM,0.0,0.0,2.985104538406386e-07
normKM,0.0,0.0,4.426310251609504e-07
KN,0.0,0.0,0.00247986638315678
normKN,0.0,0.0,0.0026008360147443607
KQ,0.0,0.0,0.04346636598219371
normKQ,0.0,0.0,0.03820958152370214
KR,0.0,0.0,6.503486949888598e-05
normKR,0.0,0.0,0.00013370444415199552
KS,0.0,0.0,9.772490162564798e-05
normKS,0.0,0.0,0.00010467853383840476
KV,0.0,0.0,1.0453219411591162e-21
normKV,0.0,0.0,3.5078214641560986e-21
KW,0.0,0.0,4.014757734125074e-23
normKW,0.0,0.0,8.897503779442734e-24
KY,0.0,0.0,8.680585842446231e-07
normKY,0.0,0.0,6.41365291116279e-07
LA,0.0,0.0,1.28676099870361e-07
normLA,0.0,0.0,7.894836686561212e-08
LC,0.0,0.0,9.550811793264128e-12
normLC,0.0,0.0,3.3269897664375813e-11
LD,0.0,0.0,0.0015508864639611623
normLD,0.0,0.0,0.0018546157918658834
LE,0.0,0.0,0.0030391005466631317
normLE,0.0,0.0,0.003183791751558037
LF,0.0,0.0,4.947615365139667e-08
normLF,0.0,0.0,1.5099957139838717e-07
LG,0.0,0.0,0.02992861888869815
LH,0.0,0.0,3.6175739717788685e-11
normLH,0.0,0.0,1.4779883283585014e-09
LI,0.0,0.0,0.00030350393602373877
normLI,0.0,0.0,0.00028780028161185325
LK,0.0,0.0,6.096334159737127e-07
normLK,0.0,0.0,7.866314389219582e-07
LM,0.0,0.0,2.5563951553668338e-08
normLM,0.0,0.0,2.9559520583702375e-08
LN,0.0,0.0,1.4567958723886918e-06
normLN,0.0,0.0,1.6438043179505337e-06
LP,0.0,0.0,1.0586973971393469e-07
normLP,0.0,0.0,2.985052347723297e-07
LQ,0.0,0.0,1.5186326515662596e-05
normLQ,0.0,0.0,1.2293938725401813e-05
LR,0.0,0.0,1.1725906258488105e-19
normLR,0.0,0.0,5.552072725963172e-19
LT,0.0,0.0,2.2076975321866725e-10
normLT,0.0,0.0,2.3466537805480866e-10
LV,0.0,0.0,2.440309252647838e-06
normLV,0.0,0.0,2.9626812982840493e-06
LW,0.0,0.0,2.1433186073705945e-20
normLW,0.0,0.0,1.771123168626838e-20
LY,0.0,0.0,3.0778407356476344e-08
normLY,0.0,0.0,3.0779604570149796e-08
MA,0.0,0.0,6.134701795588547e-11
normMA,0.0,0.0,6.441672562083621e-11
MC,0.0,0.0,0.002448318503728481
normMC,0.0,0.0,0.0023476806679306873
MD,0.0,0.0,0.016891757204317584
normMD,0.0,0.0,0.01736224284954598
MF,0.0,0.0,0.0002581639610663056
